,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
194,2020-10-25,8628319,83889,73670.21268438567,225221,944,843.3212040233126,225221
195,2020-10-26,8691501,63182,76436.22807960339,225645,424,853.8339321192673,225645
196,2020-10-27,8757728,66227,79326.57774744561,226145,500,863.744930998749,226145
197,2020-10-28,8835996,78268,82314.13461193438,227174,1029,873.280280420624,227174
198,2020-10-29,8914642,78646,85380.73558017507,228201,1027,882.7859393668549,228201
199,2020-10-30,9006320,91678,88520.30007876437,229213,1012,892.7053318669921,229213
200,2020-10-31,9106774,100454,91740.4356834211,230257,1044,903.5481320855083,230257
201,2020-11-01,9197557,90783,95062.26252018806,231207,950,915.8527275758642,231207
202,2020-11-02,9303323,105766,98518.3689439701,231702,495,930.145344369493,231702
203,2020-11-03,9387302,83979,102149.00703804054,232221,519,946.8990663714675,232221
204,2020-11-04,9515628,128326,105996.82881942591,233833,1612,966.4959627272455,233833
205,2020-11-05,9619184,103556,110100.63373362256,234982,1149,989.1952622870845,234982
206,2020-11-06,9749305,130121,114488.72788021764,236160,1178,1015.1100170776397,236160
207,2020-11-07,9877396,128091,119172.5716231088,237399,1239,1044.194026816341,237399
208,2020-11-08,10009912,132516,124141.40573864446,238540,1141,1076.2400154334457,238540
209,2020-11-09,10134210,124298,129358.49363881325,239092,552,1110.889224953302,239092
210,2020-11-10,10209733,75523,134759.5011481356,239849,757,1147.651787479018,239849
211,2020-11-11,10354834,145101,140253.364424435,241308,1459,1185.9365111460004,241308
212,2020-11-12,10504221,149387,145725.78476514714,242805,1497,1225.0881180504055,242805
213,2020-11-13,10666089,161868,151045.254193947,244173,1368,1264.4295340767615,244173
214,2020-11-14,10847215,181126,156071.27838186506,245372,1199,1303.3065690889857,245372
215,2020-11-15,11019459,172244,160664.24487549165,246745,1373,1341.1322423872325,246745
216,2020-11-16,11157216,137757,164696.20490142898,247532,787,1377.428090280429,247532
217,2020-11-17,11316341,159125,168061.7133747396,248342,810,1411.8600171430714,248342
218,2020-11-18,11480445,164104,170687.81684713063,250049,1707,1444.266588800873,250049
219,2020-11-19,11653747,173302,172542.2999969469,251991,1942,1474.6780853442617,251991
220,2020-11-20,11845577,191830,173639.39852097395,254032,2041,1503.325098581502,254032
221,2020-11-21,12047505,201928,174042.35404536474,255990,1958,1530.6359507352113,255990
222,2020-11-22,12229516,182011,173862.4129244242,257627,1637,1557.2227054056555,257627
223,2020-11-23,12376095,146579,173254.13836322833,258686,1059,1583.8560260501474,258686
224,2020-11-24,12547989,171894,172407.1932194847,259759,1073,1611.4296044632836,259759
225,2020-11-25,12725171,177182,171535.03607911005,261894,2135,1640.9153298597696,261894
226,2020-11-26,12910268,185097,170861.2325560997,264151,2257,1673.3107981031435,264151
227,2020-11-27,13028611,118343,170604.29578746902,265552,1401,1709.581169394052,265552
228,2020-11-28,13231677,203066,170962.11685373166,267106,1554,1750.5977664664895,267106
229,2020-11-29,13390420,158743,172097.1144464838,268464,1358,1797.0761529541248,268464
230,2020-11-30,13531226,140806,174123.21671078386,269515,1051,1849.5167244395623,269515
231,2020-12-01,13686970,155744,177095.68666089204,270827,1312,1908.151056590286,270827
232,2020-12-02,13881005,194035,181004.62244955607,273379,2552,1972.8973534661698,273379
233,2020-12-03,14085509,204504,185772.71779318253,276209,2830,2043.328289220917,276209
234,2020-12-04,14309670,224161,191257.5739237353,279178,2969,2118.6543038066225,279178
235,2020-12-05,14544983,235313,197258.53421958128,281790,2612,2197.724969888466,281790
236,2020-12-06,14766893,221910,203527.68988581304,284180,2390,2279.05037743242,284180
237,2020-12-07,14946112,179219,209784.40364216277,285583,1403,2360.843584223942,285583
238,2020-12-08,15136263,190151,215732.44062932848,287142,1559,2441.0840751356636,287142
239,2020-12-09,15367212,230949,221078.60062904522,289725,2583,2517.6009031222247,289725
240,2020-12-10,15588347,221135,225551.62743796653,292906,3181,2588.172816252418,292906
241,2020-12-11,15823022,234675,228920.1383108673,295892,2986,2650.6412936020365,295892
242,2020-12-12,16063279,240257,231008.3709486109,299273,3381,2703.0311201840045,299273
243,2020-12-13,16285443,222164,231708.68332264657,301806,2533,2743.6720375274185,301806
244,2020-12-14,16472147,186704,230989.9525112266,303465,1659,2771.3142219763604,303465
245,2020-12-15,16672776,200629,228901.28738305316,305114,1649,2785.2299669097706,305114
246,2020-12-16,16894828,222052,225570.77723188102,308101,2987,2785.2940570004625,308101
247,2020-12-17,17135514,240686,221199.32276746153,311834,3733,2772.0359714227807,311834
248,2020-12-18,17372721,237207,216049.9148382219,315284,3450,2746.6582498773405,315284
249,2020-12-19,17621693,248972,210433.0183591674,318226,2942,2711.0170687886457,318226
250,2020-12-20,17824263,202570,204688.96493456443,320980,2754,2667.563228691417,320980
251,2020-12-21,18009622,185359,199168.4420009316,322749,1769,2619.2442286070354,322749
252,2020-12-22,18199338,189716,194212.27795984267,324546,1797,2569.370743353676,324546
253,2020-12-23,18401293,201955,190131.75590495887,327844,3298,2521.453442431325,327844
254,2020-12-24,18627073,225780,187190.64276680935,331223,3379,2479.0184973669775,331223
255,2020-12-25,18831976,204903,185590.00083259496,334145,2922,2445.412122033172,334145
256,2020-12-26,18940661,108685,185456.66418500958,335650,1505,2423.6058982549225,335650
257,2020-12-27,19159654,218993,186836.0270622429,337563,1913,2416.015310567196,337563
258,2020-12-28,19314648,154994,189689.5207188915,339001,1438,2424.3437497778627,339001
259,2020-12-29,19481333,166685,193896.86795570576,340878,1877,2449.4632036081366,340878
260,2020-12-30,19683000,201667,199262.91838804958,344494,3616,2491.3409577887055,344494
261,2020-12-31,19905949,222949,205528.60026473907,348427,3933,2549.0189733760885,348427
262,2021-01-01,20164077,258128,212385.29191027215,351754,3327,2620.6493402593774,351754
263,2021-01-02,20330344,166267,219491.730590857,353948,2194,2703.585542351474,353948
264,2021-01-03,20626223,295879,226492.44835160964,356547,2599,2794.5254575291433,356547
265,2021-01-04,20829873,203650,233036.6588916111,357984,1437,2889.698329198402,357984
266,2021-01-05,21011519,181646,238796.5186375494,359964,1980,2985.0846635891703,359964
267,2021-01-06,21242773,231254,243483.74679354785,363568,3604,3076.6553860351187,363568
268,2021-01-07,21499615,256842,246863.70769416526,367492,3924,3160.614849370609,367492
269,2021-01-08,21788251,288636,248766.22563847556,371520,4028,3233.6315885692047,371520
270,2021-01-09,22091738,303487,249092.60649949784,375709,4189,3293.0411451222935,375709
