,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
296,2021-02-04,2449535,17848,17467.155263252902,38039,420,335.8020714901981,2015866.0
297,2021-02-05,2463424,13889,16656.802235467312,38453,414,332.08901366542875,2037888.0
298,2021-02-06,2478003,14579,15690.118884155365,38893,440,325.6081402470222,2060478.0
299,2021-02-07,2486505,8502,14594.915696971198,39182,289,316.31029090914905,2080185.0
300,2021-02-08,2494861,8356,13407.43964345752,39322,140,304.3307953295203,2091113.0
301,2021-02-09,2504578,9717,12170.095513458513,39482,160,289.98869079366824,2104894.0
302,2021-02-10,2518333,13755,10928.748115509763,39799,317,273.77248494616833,2125302.0
303,2021-02-11,2531060,12727,9729.796110917567,40148,349,256.3132243353338,2168762.0
304,2021-02-12,2543236,12176,8617.223946865965,40535,387,238.34660256669414,2184719.0
305,2021-02-13,2554842,11606,7629.83875177276,40901,366,220.666694849719,2204146.0
306,2021-02-14,2564055,9213,6798.884176082561,41149,248,204.07457030122194,2220233.0
307,2021-02-15,2568930,4875,6146.194183955055,41273,124,189.32545569270587,2231709.0
308,2021-02-16,2571723,2793,5683.008990271347,41336,63,177.07826933038714,2260840.0
309,2021-02-17,2574648,2925,5409.525861105774,41386,50,167.85119813392416,2257030.0
310,2021-02-18,2579802,5154,5315.203175423644,41496,110,161.9865644034558,2268067.0
311,2021-02-19,2582111,2309,5379.781152880954,41630,134,159.62755321443456,2279684.0
312,2021-02-20,2587712,5601,5574.9311792671015,41832,202,160.7084986583487,2289773.0
313,2021-02-21,2593816,6104,5866.401589073732,42041,209,164.95942476741132,2312445.0
314,2021-02-22,2600660,6844,6216.494360737055,42162,121,171.9244827426932,2318193.0
315,2021-02-23,2606513,5853,6586.686842592997,42301,139,180.99290192577325,2331940.0
316,2021-02-24,2617096,10583,6940.206704025818,42521,220,191.44015716750164,2353741.0
317,2021-02-25,2624852,7756,7244.3769971485335,42831,310,202.4763203126563,2368008.0
318,2021-02-26,2632666,7814,7472.570570164465,43085,254,213.2980643650479,2380295.0
319,2021-02-27,2643463,10797,7605.647085096921,43376,291,223.14056248821046,2393568.0
320,2021-02-28,2649363,5900,7632.7886659896085,43519,143,231.32558545917075,2417585.0
321,2021-03-01,2653013,3650,7551.698205537324,43697,178,237.30244273842368,2422369.0
322,2021-03-02,2660791,7778,7368.173709501378,43909,212,240.67900404138854,2429453.0
323,2021-03-03,2668091,7300,7095.118853280054,44186,277,241.24083076736835,2441822.0
324,2021-03-04,2675712,7621,6751.0905469166,44463,277,238.95737508412913,2450229.0
325,2021-03-05,2683386,7674,6358.515713889818,44757,294,233.97519414374185,2458818.0
326,2021-03-06,2688975,5589,5941.729458318589,45047,290,226.59909927827565,2470308.0
327,2021-03-07,2692691,3716,5524.99407556641,45249,202,217.26303915035868,2470308.0
328,2021-03-08,2695558,2867,5130.65276259703,45315,66,206.49323448694628,0.0
